SSC Exams,Banking Exams,Teaching Exams,Civil Services Exam,Railways Exams,Engineering Recruitment Exams,Defence Exams,State Govt. Exams,Police Exams,Insurance Exams,Nursing Exams,Other Govt. Exams,MBA Entrance Exam,CUET and UG Entrance,NRA CET
SSC MTS4061 Tests,Bank of India PO17 Tests,KVS Junior Secretariat Assistant322 Tests,UPSC EPFO124 Tests,RRB NTPC1554 Tests,CRPF Head Constable453 Tests,UP B.Ed JEE632 Tests,Delhi Police Constable199 Tests,LIC ADO936 Tests,Indian Army Nursing Assistant33 Tests,KVS Junior Secretariat Assistant322 Tests,NRA CET - Graduates59 Tests,CAT Exam67 Tests,CUET2364 Tests,MP Vyapam AAO89 Tests
SSC CGL4819 Tests,BOB Acquisition Officer,KVS Stenographer322 Tests,UPSC Civil Services984 Tests,RRB ALP215 Tests,Army GD Agniveer436 Tests,MP Patwari1058 Tests,UP Police Sub Inspector428 Tests,LIC AAO953 Tests,CRPF Paramedical Staff,KVS Stenographer322 Tests,NRA CET - 12th61 Tests,MAH MBA CET8 Tests,NEET417 Tests,RIICO Assistant Accounts Officer Grade 2
SSC CHSL5254 Tests,IBPS PO1491 Tests,DSSSB TGT1406 Tests,UPPCS889 Tests,RRB Group D1051 Tests,Army Tradesman Agniveer326 Tests,RSMSSB JE855 Tests,Delhi Police Head Constable261 Tests,LIC Assistant546 Tests,BRO Multi Skilled Worker,FCI Assistant Grade 3360 Tests,NRA CET - 10th,CMAT Exam16 Tests,CUET PG,UKSSSC Assistant Accountant
SSC GD Constable4456 Tests,RRB Officer Scale - I1479 Tests,CTET1973 Tests,UPPSC RO ARO164 Tests,Railway TTE,AFCAT549 Tests,Delhi Forest Guard58 Tests,MP Police Constable554 Tests,ESIC Staff Nurse56 Tests,AIIMS Nursing Officer318 Tests,Supreme Court Junior Court Assistant19 Tests,null,null,JEE Main410 Tests,RSMSSB TRA
SSC CPO3432 Tests,RRB Office Assistant1579 Tests,UP B.Ed JEE632 Tests,BPSC Exam734 Tests,RPF Constable,BSF Constable478 Tests,MAHA TAIT14 Tests,Bihar Police SI276 Tests,ESIC MTS473 Tests,MP GNTST PNST9 Tests,IB ACIO134 Tests,null,null,BITSAT,RVPN Junior Accountant
SSC Selection Post105 Tests,SBI PO1442 Tests,UGC NET4269 Tests,UPSC CAPF AC199 Tests,RPF SI5 Tests,CISF Head Constable340 Tests,MPPGCL Junior Engineer157 Tests,UP Police Constable634 Tests,NIACL AO788 Tests,MP Staff Nurse,ICMR Assistant11 Tests,null,null,TS EAMCET,UPPCL Assistant Accountant98 Tests
SSC Head Constable AWO TPO124 Tests,MP Cooperative Bank Committee Manager25 Tests,DSSSB PRT1482 Tests,MPPSC State Service515 Tests,RRB JE22 Tests,AOC Tradesman Mate97 Tests,MPTET Varg 1852 Tests,MP Police SI474 Tests,LIC HFL Assistant Manager210 Tests,NHM MP CHO362 Tests,NBE81 Tests,null,null,JIPMER,RPSC Junior Accountant
IB Security Assistant304 Tests,IBPS Clerk1518 Tests,KVS PRT319 Tests,MPSC State Service1068 Tests,RRB SSE,BSF Head Constable162 Tests,UPPCS889 Tests,Delhi Police MTS3019 Tests,ESIC Stenographer64 Tests,ESIC Staff Nurse56 Tests,Supreme Court Law Clerk19 Tests,null,null,null,UPPCL Accounts Clerk
SSC JE CE3964 Tests,SBI Clerk1288 Tests,KVS Librarian161 Tests,WBCS409 Tests,RRB Junior Stenographer22 Tests,Indian Army Nursing Assistant33 Tests,Rajasthan 3rd Grade Teacher346 Tests,UP Police Assistant Operator423 Tests,ESIC SSO268 Tests,NVS Staff Nurse354 Tests,KVS Senior Secretariat Assistant,null,null,null,JKSSB Accounts Assistant7 Tests
SSC JE EE3559 Tests,RBI Assistant787 Tests,KVS TGT1627 Tests,Haryana Civil Services188 Tests,RRB Junior Translator11 Tests,Airforce Group X1233 Tests,HSSC TGT334 Tests,UP Police Head Operator423 Tests,LIC HFL Assistant210 Tests,RRB Staff Nurse254 Tests,KVS Assistant Section Officer322 Tests,null,null,null,null
SSC JE ME3323 Tests,SBI CBO,SUPER TET1292 Tests,RPSC RAS437 Tests,RPSF1 Tests,Army Clerk Agniveer379 Tests,MP Forest Guard249 Tests,Delhi Police Driver106 Tests,AIC Management Trainee,OSSSC Nursing Officer262 Tests,CBSE Junior Assistant999 Tests,null,null,null,null
SSC Stenographer2578 Tests,MP Cooperative Bank Clerk25 Tests,UPTET1805 Tests,MPPSC Forest Service113 Tests,RRB Ministerial and Isolated Categories,Airforce Group Y443 Tests,Rajasthan Computer Teacher147 Tests,UP Police Workshop Staff423 Tests,ESIC UDC438 Tests,UP NHM CHO195 Tests,DRDO Admin and Allied121 Tests,null,null,null,null
SSC JHT393 Tests,JAIIB Exam,KVS PGT2096 Tests,APPSC Group 1502 Tests,RRB JE CE,NDA Group C18 Tests,MPTET Varg 2638 Tests,Odisha Police Constable312 Tests,PFRDA Assistant Manager,UBTER Staff Nurse,BRO Multi Skilled Worker,null,null,null,null
